Old Link; New Destination; Status Code Origin; Status Code Destination; Redirect Points Too
https://www.thieme.com/books-main/surgery/product/5176-international-journal-of-recent-surgical-and-medical-sciences; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00042120; 301; 200; 
https://www.thieme.com/books-main/sports-medicine-main/product/2177-international-journal-of-sports-medicine; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000028; 301; 200; 
https://www.thieme.com/books-main/ophthalmology/product/4023-journal-of-academic-ophthalmology; https://lp.thieme.de/journals/journal-of-academic-ophthalmology/2475-4757; 301; 200; 
https://www.thieme.com/books-main/orthopaedic-surgery/product/2201-journal-of-brachial-plexus-and-peripheral-nerve-injury; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00027212; 301; 200; 
https://www.thieme.com/books-main/surgery/product/4002-journal-of-child-science; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00033103; 301; 200; 
https://www.thieme.com/books-main/radiology/product/4083-journal-of-clinical-interventional-radiology; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00033348; 301; 200; 
https://www.thieme.com/books-main/internal-medicine/product/6009-journal-of-coloproctology; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00050098; 301; 200; 
https://www.thieme.com/books-main/internal-medicine/product/6264; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00053246; 301; 200; 
https://www.thieme.com/books-main/internal-medicine/product/5333-journal-of-digestive-endoscopy; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00043283; 301; 200; 
https://www.thieme.com/books-main/radiology/product/5001-journal-of-gastrointestinal-and-abdominal-radiology; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00043197; 301; 200; 
https://www.thieme.com/books-main/orthopaedic-surgery/product/3567-journal-of-hand-and-microsurgery; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00031417; 301; 200; 
https://www.thieme.com/books-main/complementary-medicine/product/5337-journal-of-health-and-allied-sciences; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00045654; 301; 200; 
https://www.thieme.com/books-main/orthopaedic-surgery/product/4003-journal-of-hip-surgery; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00031934; 301; 200; 
https://www.thieme.com/books-main/orthopaedic-surgery/product/2157-journal-of-knee-surgery; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000161; 301; 200; 
